;;;0.166666667;0.166666667;0.166666667;0.125;0.05;0.05;0.025;0.125;0.125
2016 EPI Score;Rank;Country;EH - Health Impacts;EH - Air Quality;EH -Water and Sanitation;EV - Water Resources;EV - Agriculture;EV - Forests;EV - Fisheries;EV- Biodiversity and Habitat;EV - Climate and Energy
75.29;59;Fiji;84.29;92.06;83.45;57.38;66.91;83.2;64.86;59.23;0
74.88;60;Taiwan;73.09;60.98;95.8;65.78;70.37;86.61;52.81;76.61;76.82
74.38;61;Albania;83.99;80.89;89.34;60.16;42.59;53.14;62.64;54.12;91.01
74.34;62;Trinidad and Tobago;92.81;97.2;86.61;59.48;11.14;0;43.28;88.51;0
74.23;63;Malaysia;86.74;74.68;91.22;77.16;48.33;0;53.48;90.85;58.95
74.18;64;Morocco;65.55;89.57;67.72;60.82;100;0;71.02;91.1;59.61
73.98;65;Uruguay;98.71;92.03;95.69;47.46;94.38;3.412;46.15;54.32;59.81
73.7;66;Philippines;63.61;86.79;75.02;51.1;89.61;61.8;51.31;86.16;80.98
73.59;67;Mexico;72.4;79.55;80.79;80.32;79.14;54.58;55.26;78.66;54.9
73.55;68;Belize;77.39;95.02;77.76;50.22;77.72;28.86;29.45;99.03;0
73.29;69;Kazakhstan;93.72;89.66;81.87;74.79;0;0;0;53.45;60.32
73.25;70;Dominica;89.16;92.44;77.98;51.95;65.49;0;33.14;81.02;0
73.13;71;Kyrgyz Republic;73.76;84.79;74.63;58.09;100;0;0;79.8;58.36
73.05;72;Tajikistan;69.96;74;70.28;49.33;89.97;0;0;74.2;99.24
72.95;73;Peru;77.71;83.8;73.66;79.88;78.67;75.96;49.04;84.59;33.92
72.24;74;Jordan;64.39;75.97;89.65;76.7;75.74;0;0;42.94;85.38
71.14;75;Guyana;75.76;95.72;79.1;38.54;88.16;97.11;40.1;51.31;0
71.09;76;Bolivia;74.77;90.09;71.87;54.38;95.99;49.68;0;90.06;37.25
70.85;77;Mauritius;95.57;95.41;92.72;58.09;28.44;0;34.95;55.45;0
70.84;78;Namibia;58.19;88.58;62.4;63.38;80.05;0;41.03;95.74;61.18
70.72;79;Botswana;58.63;90.16;68.32;41.04;73.62;0;0;93.75;75.67
70.61;80;South Korea;65.93;45.51;95.11;93.15;57.8;74.42;58.47;69.34;62.39
70.52;81;South Africa;69.25;88.84;71.9;79.44;93.4;0;56.95;75.06;54.26
70.36;82;Paraguay;73.42;87.59;82.41;39.82;100;0;0;78.94;68.1
70.28;83;Algeria;67.06;89.04;72.11;82.49;76.34;0;66.51;61.62;43.6
70.24;84;Turkmenistan;60.76;84.27;66.29;69.7;75.81;0;0;49.93;93.27
70.2;85;Samoa;71.37;88.55;90.06;48.13;68.25;0;65.26;61.86;0
70.07;86;Bahrain;59.06;71.1;91.91;91.66;31.85;0;57.17;56.54;67.71
69.94;87;Qatar;54.02;56.54;89.8;90.14;0;0;33.71;58.37;89.35
69.64;88;Honduras;62.81;86.95;72.82;46.48;72.51;7.874;14.79;86.89;80.14
69.64;88;Guatemala;61.59;83.88;69.88;65.19;70.76;37.22;28.57;78.02;89.59
69.59;90;Equatorial Guinea;57.74;83.67;54.84;44.42;100;75.58;65.67;91.8;0
69.54;91;Thailand;72.74;56.32;85.77;71.28;76.24;43.23;43.86;86.08;55.92
69.35;92;United Arab Emirates;54.5;69.47;90.3;94.63;27.17;0;56.27;89.41;38.49
69.34;93;The Bahamas;93.42;94.09;88.06;11.37;30.77;65.61;65.81;74.59;0
69.14;94;Lebanon;60.34;74.44;80.29;86.61;74.7;60.93;34.61;43.86;74.74
68.63;95;Saudi Arabia;55.46;73.64;86.99;85.8;38.21;0;33.9;81.69;48.3
68.58;96;Suriname;78.67;93.45;79.32;0.01;53.44;95.1;67.25;81.12;0
68.07;97;El Salvador;68.16;89.65;73.94;42.21;43.23;46.01;12.37;76.43;78.71
67.86;98;Brunei Darussalam;97.13;83.9;86.96;37.84;0.9772;0;62.07;86.74;30.7
67.68;99;Turkey;74.43;79.3;85.06;78.99;87.04;68.48;57.82;22.53;47.77
67.37;100;Gabon;72.06;89.88;63.25;0;85.5;88.51;46.12;89.37;70.53
66.91;101;Syria;67.43;65.96;76.97;83.33;97.56;0;64.21;31.17;0
66.86;102;Tonga;77.06;91.2;84.99;27.06;38.25;0;56.2;79.33;0
66.58;103;Ecuador;87.34;90.12;79.38;0;51.78;71.67;38.31;88.91;44.23
66.45;104;Egypt;65.17;58.02;86.72;78.54;51.74;0;30.58;72.75;50.86
66.32;105;Iran;63.21;76.68;76.89;55.91;92.39;0;33.17;64.16;53.88
66.06;106;Zambia;45.93;79.68;52.99;58.09;89.25;60.05;0;97.06;0
65.85;107;Indonesia;75.43;80.36;74.66;12.69;84.31;12.96;23.59;81.62;81.59
65.55;108;Sri Lanka;61.18;68.99;83.05;0;75.74;72.85;37.72;81.98;91.12
65.1;109;China;68.89;23.81;85.54;78.08;43.9;60.49;55.45;77.45;74.78
64.99;110;Bhutan;70.67;58.04;78.7;0;91.71;98.33;0;96.34;0
