;;;0.333333333333333;0.333333333333333;0.333333333333333
HDI 2016 Score;Rank;Country;Health index;Education index;Income index
0.727;95;Colombia;0.834292307692308;0.629511694366667;0.732480296375595
0.726;96;Dominica;0.890061538461538;0.617763134522222;0.697078276839693
0.725;97;Suriname;0.788876923076923;0.629859457311111;0.766803824477922
0.725;97;Tunisia;0.845876923076923;0.643017516833333;0.69934635193261
0.722;99;Dominican Republic;0.825384615384616;0.621775833333333;0.732411582863147
0.722;99;Saint Vincent and the Grenadines;0.816046153846154;0.656625;0.701161062003699
0.721;101;Tonga;0.815215384615385;0.766288888888889;0.599289895721466
0.716;102;Libya;0.796353846153846;0.615958333333333;0.749698968793231
0.706;103;Belize;0.7704;0.703696388888889;0.649638714581752
0.704;104;Samoa;0.825738461538461;0.701508208111111;0.6017597740674
0.701;105;Maldives;0.876292307692308;0.560588888888889;0.701310860440712
0.701;105;Uzbekistan;0.76;0.739560111111111;0.611998728646316
0.699;107;Moldova (Republic of);0.795861538461538;0.725353666666667;0.591724762559058
0.698;108;Botswana;0.684738461538462;0.6582685598;0.753450899161539
0.697;109;Gabon;0.691323076923077;0.618029440133333;0.792939193141328
0.693;110;Paraguay;0.815446153846154;0.613348611111111;0.6653225951706
0.691;111;Egypt;0.789615384615385;0.600858333333333;0.696601925985771
0.691;111;Turkmenistan;0.7036;0.629306222222222;0.746741866268305
0.689;113;Indonesia;0.754646153846154;0.621928898033333;0.696440906011088
0.684;114;Palestine, State of;0.816430769230769;0.654811555555556;0.598489563955403
0.683;115;Viet Nam;0.8606;0.6170504774;0.600716210157459
0.682;116;Philippines;0.743692307692308;0.636812888888889;0.669212036284229
0.680;117;El Salvador;0.819553846153846;0.583577639155556;0.656783664391533
0.674;118;Bolivia (Plurinational State of);0.749892307692308;0.656308444444445;0.622324173484891
0.666;119;South Africa;0.579353846153846;0.705369055555556;0.724271939798736
0.664;120;Kyrgyzstan;0.7814;0.721276249;0.518567249310004
0.649;121;Iraq;0.763476923076923;0.499615244444444;0.718157651147952
0.648;122;Cabo Verde;0.823661538461538;0.533860114488889;0.619706033337524
0.647;123;Morocco;0.835538461538462;0.502787585311111;0.645908238347891
0.645;124;Nicaragua;0.849415384615385;0.5423;0.583080352650592
0.640;125;Guatemala;0.800953846153846;0.507887333566667;0.643117347886105
0.640;125;Namibia;0.693261538461538;0.54635525;0.692120148833428
0.638;127;Guyana;0.715369230769231;0.567933988833333;0.63924533046744
0.638;127;Micronesia (Federated States of);0.757969230769231;0.648510373888889;0.527776989623726
0.627;129;Tajikistan;0.7628;0.658023444444444;0.492188174431003
0.625;130;Honduras;0.820523076923077;0.517804111111111;0.573884103779694
0.624;131;India;0.743415384615385;0.534866396477778;0.60975499711075
0.607;132;Bhutan;0.766953846153846;0.452107658211111;0.643507115159789
0.605;133;Timor-Leste;0.746369230769231;0.494266661111111;0.601750052770792
0.597;134;Vanuatu;0.801646153846154;0.526294888877778;0.503600654391014
0.592;135;Congo;0.659876923076923;0.520096700388889;0.605400913332996
0.592;135;Equatorial Guinea;0.583215384615385;0.439407989322222;0.811386533513897
0.588;137;Kiribati;0.711215384615385;0.590087477777778;0.484723951149259
0.586;138;Lao People's Democratic Republic;0.716892307692308;0.473945398811111;0.592393413677112
0.579;139;Bangladesh;0.799769230769231;0.457461051233333;0.530054882308612
0.579;139;Ghana;0.638938461538462;0.550850555555556;0.551007669943068
0.579;139;Zambia;0.627984615384615;0.577430555555556;0.535481411769797
0.574;142;Sao Tome and Principe;0.716646153846154;0.509464561111111;0.517246881010968
0.563;143;Cambodia;0.750876923076923;0.458566111111111;0.518495113617312
0.558;144;Nepal;0.769061538461539;0.474971844444444;0.476049554637785
